"jobListingId" "flag" "salary_est" "review" "size" "industry" "revenue" "description"
1518289779 0 141 4.6 "201 to 500 employees" "Consulting" "$50 to $100 million (USD) per year" "WHO WE LOOK FOR An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.  As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.  As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are authentic, low-maintenance individuals who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family. WHAT WE DO Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.  We work across a variety of industries and business functions and provide depth and breadth of experience across a core set of service areas: Agile Transformation and DeliveryAnalytics and Business IntelligenceBusiness Process & TransformationOrganizational Change ManagementInformation Management & Data GovernanceProgram & Project Leadership & ExecutionStrategic PlanningVendor & Technology SelectionUser Experience (UX) A career at SEI extends well beyond providing great service and thought leadership to our clients. Everyone takes an active role in building and managing our business, in an environment that runs counter to traditional consulting firms. Our consultants have a \"seat at the table\" and contribute to growing our business in ways that align to their interests such as growing business development opportunities, conducting interviews to support our hiring process, managing internal initiatives that build our brand or organizing trainings to share what you know with your colleagues. There is no telling what an SEI Consultant will be asked to do on a day-to-day basis – we do what it takes to get the job done. QUALIFICATIONSRequiredDemonstrated business acumenProven track record of delivering resultsExperience working with and/or leading a teamAbility to work independentlyAbility to work across industries, roles, functions & technologiesPositive can-do attitudeAuthorization for permanent employment in the United States (this position is not eligible for immigration sponsorship)PreferredBachelor’s degreeMinimum 8+ years professional experienceConsulting experienceExperience across our service offeringsProfessional certifications (e.g. PMP , Scrum, Agile)"
2204974404 0 141.757 4.7 "201 to 500 employees" "Internet" "Unknown / Non-Applicable" " SeatGeek operates a unique business model in a complicated, opaque market. Many of the hardest problems we face have never been tackled at scale and do not have clear questions, let alone answers. Moving forward requires critical thinking, rapid prototyping, and intellectual dexterity.  Our team members have varied backgrounds including an expert on natural language processing, a neuroscientist, a former math teacher, and a mathematician who previously specialized in traffic flow optimization. We share common views on experimental rigor, pragmatism, and software quality.  We want someone to join us who shares our excitement at providing data services to our colleagues and customers, someone proficient with at least one general-purpose programming language and who knows its scientific stack. We want someone who can take a messy dataset and make it clean and who can take a clean dataset and make it sing. Last but not least, we want someone who's committed not only to bettering themselves but to bettering their team, someone who values and invests in knowledge share and open communication.What you'll doAs a member of the SeatGeek data science team you will take the complex issues facing the business and make them simple. We aim to find meaning in the data we have, go out and get the data we don't. We leverage technology whenever possible, and we aim to build systems that anticipate the needs of tomorrow as well as solving the problems of today.  Here are some things you might work on: Design and implement statistical tests for new KPIs in our A/B testing frameworkMine user interaction data for operational efficiencies and product improvements that could save our customers time and boost our bottom lineDeliver a talk to engineers on your favorite Scala features or a class on epistemology to the rest of the businessEstimate how adding a hundred thousand tickets to our inventory or changing how we allocate marketing resources will impact revenueUse machine learning to identify when a user has a problem before they contact usBuild a model to predict the probability a particular ticket listing will sell at a given priceWhat we're looking forYou have a passion for problem solving, experience working on open-ended projects, and a proven ability to come up with creative, elegant solutions to complex issues. Experience with specific tools is less important than aptitude and drive, but at a minimum we would expect: 3-5 years of academic or professional experience in a quantitative roleExperience translating business problems into data problems and solving themComfort turning ideas into code (bonus points for experience with Python or Scala)Commitment to creating and sharing reproducible analysisA passion for learning and teaching others Bonus points for candidates who have experience with or desire to learn any of the following: Streaming data (Reactive Extensions, Spark Streaming, Akka-streams, Kafka, RabbitMQ)AWS infrastructure (we use Redshift, S3, EMR, Kinesis, Lambda, and RDS)Building distributed software (especially on top of Spark, Hadoop, etc.) in a production environmentUtilizing applied statistics or machine learning on large, complex, noisy datasetsScaling and turning statistical models into production-ready applications such as recommender systems The Tools We UseWe do research and development work in a custom environment optimized for repeatability and collaboration. You absolutely do not need experience with all of these, but we thought you might be curious. Languages: Python for web services and product devlopment, R for analysis and prototypingDatastores: MySQL, Redshift, Elasticsearch, RedisMonitoring: Graphite/StatsDVersion control: GitPerks:A laid-back, fun workplace designed to facilitate collaboration and company wide events$120/mo to spend on live events ticketsA superb benefits package that supports health/dental/visionA focus on transparency. We have regular team lunches and Q&A panels where employees can chat openly with teams across SeatGeek, our co-founders, and external guests from the industryAnnual subscriptions to Citibike, Spotify, and meditation services Come Join Us!SeatGeek is committed to providing equal employment opportunities to all employees and applicants for employment regardless of race, color, religion, creed, age, national origin or ancestry, ethnicity, sex, sexual orientation, gender identity or expression, disability, military or veteran status, or any other category protected by federal, state, or local law. As an equal opportunities employer, we recognize that diversity is a positive attribute and we welcome the differences and benefits that a diverse culture brings.      "
2494229336 0 112 3.6 "5001 to 10000 employees" "Internet" "$2 to $5 billion (USD) per year" " Ref#: R0007641  Additional Posting Location(s): Austin, Stamford Our mission.  As the world’s number 1 job site, our mission is to help people get jobs. We need talented, passionate people working together to make this happen. We are looking to grow our teams with people who share our energy and enthusiasm for creating the best experience for job seekers. The team.  We are builders, we are integrators. Business Intelligence creates and optimizes solutions for a rapidly growing business on a global scale. We work with distributed infrastructure, petabytes of data, and billions of transactions with no limitations on your creativity. With tech hubs in Seattle, San Francisco, Austin, New York, Dublin, Tokyo and Hyderabad, we are improving people's lives all around the world, one job at a time. Your job.As the Business Intelligence Manager for Finance Strategy and Analysis at Indeed, you will have a direct impact on the business by partnering with Finance on their reporting and analytic initiatives to support all business functions. You know how Finance teams work and how to empower them with data and solutions. You understand that the best managers serve their teams, removing roadblocks and giving individual contributors autonomy and ownership. You have delivered challenging technical solutions. You have led business intelligence teams and earned the respect of talented analysts. You are equally happy talking algorithms and data structures as you are brainstorming about topics such as business opportunities and career development. You want to be in the mix technically while providing leadership to your teams. As our organization grows, you will help ensure we keep the talent bar high, and grow the skills and capabilities of our team.  Responsibilities Provide technical and team leadership and management for Indeed’s Finance business intelligence team supporting the Finance Strategy and Analysis organizationLead business intelligence platform integration and maintenance, defining and building reports and dashboardsHelp boost company performance through revenue or efficiency gains, as a result of the BI Team’s effortsHave detailed knowledge of Indeed’s data, and processes - including forecastingWork closely with internal stakeholders to implement solutions that meet their needs, while making sure the priorities for your team are properly aligned to business needsCollaborate with BI leaders across Indeed to drive business performance locally and globallyEmpower members of your team to grow their skillset and advance their career goals About you.  About you.Requirements 4+ years experience leading BI teamsExperience leading cross functional teams to deliver business value through dataExperience analyzing high volumes of data for multiple purposes in a dynamic environmentTrack record in driving a data driven culture across business unitsPrevious or current Python programming experienceStrong numeracy and algebraic skillsAbility to simultaneously manage large projects and manage rapid delivery of requestsSolid understanding of data structures and algorithmsStrong ability to coach analysts, helping them improve their skills and grow their careersExperience with business intelligence tools, e.g. TableauFinance Strategy, analysis and forecasting experience a distinct advantage"
2498217759 1 89 4.8 "201 to 500 employees" "Internet" "Unknown / Non-Applicable" "Data-driven decision making has always been important at SeatGeek. Our Analytics team helps drive strategic decision-making by providing meaningful business insights from data. We’re looking for a Data Analyst to join our growing team who can ensure the most relevant information is surfaced to each team to allow for well informed decisions. If you’re a well-rounded, business-savvy, technically capable analyst with SQL chops and a knack for figuring out complex systems fast, we’d love to talk with you.Who you are You love digging through mounds of data, but your understanding of what is relevant and your ability to communicate results in a concise way separates you from the pack. You look forward to open discussions around the “gray” area of business decisions, but aim to narrow that area with data driven insights as much as possible. You take pride in proactively providing data, analysis and findings in a collaborative manner. You also have many of the following: 2 to 4 years of relevant experience analyzing large and complex data sets, working with relational databases and writing SQLa degree in Mathematics, Economics, Statistics or another quantitative fieldadvanced working knowledge of SQL, perhaps with a side of Python or Ra keen sense of design, both in data architecture and dashboard presentation.knowledge of the transactional marketplace business model or consumer facing e-commerce products (bonus for mobile-first!)What you’ll dohelp drive strategic decision-making through detailed analysis, insights and reporting on key performance indicators (KPIs) and financial resultsinvestigate positive and negative trends in a wide array of business processescollaborate with departments across the company to understand needs while effectively prioritizing incoming requestswork with engineers and other source data experts to clean up messy data setscontinually improve visibility into benchmarks across the companycreate and maintain world class dashboards and data models in our BI platform, Looker Job Perks A culture that places the product first. We are a technology company at heart, and are proud of the idea that great technology drives great user experienceA laid-back, fun workplace designed to facilitate collaboration and company wide events$120/mo to spend on tickets to live eventsA superb benefits package, including full health/dental/visionA focus on transparency. We have regular team lunches and Q&A panels where employees can chat openly with teams across SeatGeek, our co-founders, and external guests from the industryHackathons: scheduled times when everyone drops what they’re doing and builds cool stuff in small groups Come Join Us!SeatGeek is committed to providing equal employment opportunities to all employees and applicants for employment regardless of race, color, religion, creed, age, national origin or ancestry, ethnicity, sex, sexual orientation, gender identity or expression, disability, military or veteran status, or any other category protected by federal, state, or local law. As an equal opportunities employer, we recognize that diversity is a positive attribute and we welcome the differences and benefits that a diverse culture brings."
2597660817 0 131 2.6 "51 to 200 employees" "Publishing" "$50 to $100 million (USD) per year" " SheKnows Media is a top womens lifestyle digital media company that averages 60 million unique visitors per month (comScore) and reaches more than 300 million social media fans and followers. The company operates a family of leading media properties that include SheKnows.com, BlogHer.com, STYLECASTER.com and HelloFlo.com. The Job: This position will be a key resource in the companys growing Business Intelligence & Analytics team. This role will own and lead the building, updating, and maintaining of key weekly/monthly reports and dashboards supporting the CEO, CFO, and various executive stakeholders. The role will work closely with Business Intelligence team members and other internal stakeholders to collect, validate, and visualize data from various sources. The candidate is expected to be highly proficient in Excel, able to quickly cut and dice data, and comfortable learning how new data sets relate to business concepts and objectives. As a Reporting Analyst, your role requires great attention to detail and great comfort level working with large and complex quantitative datasets. The expectation is to produce accurate and meaningful metrics to deliver high quality and actionable insights to the business. The Work:Develop, reconcile, and distribute weekly, monthly, and ad hoc reports ensuring complete accuracy.Data extraction and transposition from web-based systems (e.g. web analytics, DFP, ad server, order management, CRM, Looker, Redshift, and various other internal and external tracking and reporting UI systems) to Microsoft Excel.Visualize and report on data in accessible and meaningful ways to internal business units.Take initiative to lead prototyping and testing of automated reports from SQL data warehouse.Stay on top of new features/developments for additional data gathering opportunities.Data mining and analysis. Drawing actionable and meaning business insights from large datasets.The Fine Print:BS/BA in a quantitative or analytical field3-5 years working with data in a similar business intelligence, reporting, or analytical role.Outstanding Excel skills required.Basic knowledge of relational database concepts, SQL, and financial statements is preferred.Prior experience with some of the following tools preferred: Tableau, Looker (or other dashboarding tools), Google or Adobe Analytics, SalesForce (or other CRM platform), DFP/OAS (or other ad servers), DSM or Operative, comScore/Nielsen/Quantcast, NetSuite or other accounting softwareAble to work in a fast-paced environment and manage multiple priorities and deadlines.Strong structured problem solving, attention to detail and organizational skills.Tech savvy and able to research and recommend tools and technologies to solve problems.Ability to quickly learn new tools, concepts and reporting processes is extremely important.About Us With a mission of women inspiring women, SheKnows Media is revolutionizing the publishing industry by forging a new kind of model that seamlessly integrates users, editors and content creators onto a single platform designed to empower all women to discover, share and create. Whether its parenting or pop culture, fashion or food, DIY or décor, our award-winning editorial team, Experts, bloggers and social media influencers produce authentic and on-trend content every day. We dig deep to learn what makes our audience tick, revealing unexpected insights on women and digital media. Our robust, end-to-end suite of premium branded content and influencer marketing solutions generate nearly 1 billion ad impressions per month (sources: DFP), allowing brands to distribute authentic content and integrated advertising at scale.  SheKnows Media offers a competitive compensation and benefits package with an exciting, fresh and engaging work environment. Join us, and love where you work!"
2625550835 1 126 3.3 "1001 to 5000 employees" "Consumer Product Rental" "$100 to $500 million (USD) per year" "About Rent the Runway: Recently named #9 on CNBC's Disruptor 50 list for 2018, Rent the Runway is transforming the $2.4 trillion global fashion industry by introducing clothing rental as a utility for women. We have pioneered the closet in the cloud and believe that every person globally will soon have a subscription to fashion. Since our launch in late 2009, the company has raised more than $210 million from top-tier investors and built one of the most beloved brands on earth. We are proud to be both a profitable and high-growth business, with a loyal 9 million members who believe that rental is the future.  Our 1200+ employees have a revolutionary spirit that permeates our culture. We've built proprietary technology, a one-of-a-kind reverse logistics operation, stores of the future, a viral brand, relationships with hundreds of fashion brands - and we are obsessed with continuing to game change our customer experience.  We are also trying to revolutionize entrepreneurship itself - proving that diverse teams produce outsized impact. The Rent the Runway Foundation, which our two co-founders launched together in 2015, helps thousands of female entrepreneurs build and scale their own businesses with the mission of increasing the number of high growth women-led companies. About the Position: Rent the Runway has a complex data ecosystem that spans web and infrastructure logs, transactions and recurring subscription behavior, and tracking each inventory unit and throughput of our home grown reverse logistics rental operations.  Data systems power critical business decisions - from inventory assortment to operational efficacy, from marketing actions to personalized website features and customer experience enhancements - and we want to scale the data science function across all these vectors. In this role, you would:Mine the data ecosystem & find fruitful signalsDevelop and deploy performant algorithms powering applications Examples of applications include consumer-facing recommendation engines, inventory allocation systems, and internal apps for inventory buying and customer experienceDo bleeding-edge work including optimizing how products fit customers (unsolved as of yet), using AI techniques for inventory buying, and real-time streaming/model computations.You should have:Strong academic background in Computer Science, Mathematics, Physics or a related quantitative/engineering fieldExperience developing software or data products, particularly in Python, our go-to language. We also use packages like R for modeling efforts. Java is main language for our back-end systems.Passion for data and its ability to drive serious business impactAbility to work independently and take responsibility in a function that is growing in strength but is also core to the company's growth"
2738642001 1 91 3.4 "1001 to 5000 employees" "Investment Banking & Asset Management" "Unknown / Non-Applicable" " About Cubist  Cubist Systematic Strategies is one of the world’s premier investment firms. The firm deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources. Job Description We are passionate about data. We collaborate to build elegant, effective, scalable and highly reliable solutions to empower predictive modelling in finance.  Cubist’s Data Services group is looking for a Data Analyst to join our dedicated team. Our group is responsible for the timely delivery of comprehensive and error-free data to some of the most demanding and successful systematic Portfolio Managers in the world.  This exceptional individual will be a member of a small team of Data Scientists/Analysts who play a vital role in ensuring the smooth day-to-day implementation of a large research infrastructure, and the live production trading of billions of dollars of capital across global capital markets, including equities, futures, options and other financial instruments.  Job Responsibilities Identifying potential data sourcesCoordinating with compliance team and legal team on new vendor trial/subscription processAssisting with collecting and maintaining vendor overviews and content offeringsAssisting with data questions and requests from investment teamsSetting up feed downloads and monitor check-in databaseMonitoring the automated data collection and cleansing infrastructureAssisting with scheduling meetings and conference calls between data users and expertsAssisting Data team with interoffice travel arrangements, expenses, etc.Assisting in organizing presentationsManaging data trial repository permissionsDownloading trial datasets from vendor FTP sites or other delivery mechanismAssisting Data Team with manual data processing as requiredMaintaining Cubist Data Wiki contents Desirable Candidates Bachelor degree requiredBasic understanding of SQL.Programming skills in Python and at least one of C#, C++, or Java are a plusProficient knowledge of Microsoft Outlook, Excel, and WordFinancial industry experience is preferred but not requiredStrong organization, communication and interpersonal skillsAttention to detail and a love of processStrong oral and written communication skillsAbility to exercise sound judgment in assessing and determining how to handle queries, calls and issuesAbility to multitask and prioritize assignments"
2740341305 0 93 4.1 "1001 to 5000 employees" "Health Care Services & Hospitals" "Unknown / Non-Applicable" " OverviewBusiness Intelligence & Analytics Developer At Hospital for Special Surgery our clinicians and scientists collaborate to deliver the most innovative care. Our specialized focus on orthopedics and rheumatology enables us to help patients get back to what they need and love to do reliably and efficiently. Our patients are overwhelmingly satisfied with the care they receive at our facilities. When you join us, you will become part of this legacy of commitment to the most cutting-edge research and coordinated care.  The Business Intelligence Developer will primarily be responsible for the development and deployment of data warehousing solutions and Business Intelligence applications. The ideal candidate will be passionate about the field of analytics and well versed in all aspects of an enterprise-wide analytics architecture including data integration, data modeling, and master data management. ResponsibilitiesDesign, build, and support all components of a data warehouse, such as ETL processes, databases and reporting environmentsDevelop and maintain business intelligence applications including operational reports, dashboards, scorecards, and ad hoc reporting requestsDevelop and automate ETL processes that involve data cleansing, error, reconciliation handling and process monitoring utilizing Microsoft SQL Server Integration Services (SSIS)Design dimensional models with conformed dimensions, following the business processesUtilize SAP Business Objects in designing and building the reporting environmentCreate processes for capturing and maintaining metadataCreate system documentation and ensure it is continually sustained.Participate in the technical design and implementation of the Hospital’s enterprise wide analytics platform QualificationsQualificationsBS/MS in Computer Science or related field5+ years of professional experience, health care industry experience (preferred not required)3+ years of Programing experience (C#/.Net, Java, Python, Scala etc.)3+ years working with RDBMS (i.e. SQL Server)2+ years of experience in data warehousing with designing multi-layered data warehouses and data marts using both relational and dimensional modeling techniques2+ years of experience in integrating data both at logical & physical levels2+ years of ETL (SSIS or other tools) experienceExpertise in query optimization techniquesProven experience consolidating disparate data sets into usable dataExperience with visualization tools (e.g. Tableau)Experience with SAP tools, WebI and Universe DesignerExperience with I2B2 or OMOP models or other healthcare data models an added plusExperience with Big Data technologies (Hadoop, Spark, noSQL database) a big plusExperience with a public cloud platform (AWS, Azure) and its data analytics services a big plusExcellent oral and written communication skillsStrong interpersonal skillsElements of a Successful CandidateSelf-motivated, creative and innately curious about the world of technology and consistently introducing innovative solutions to problems.Ability to monitor and synthesize data, identify trends and insights and make recommendations based on rational thinking.Self-motivated people-oriented and energetic attitude; a positive team player who is analytical and focused on results.Demonstrated cultural competence and ability to interface with a diverse, multi-cultural population; diplomatic and discreet; socially, culturally and politically astute.Committed to improving quality and service and maintaining a spirit of cooperation and respect. Other Requirements#LI-JL1"
2741428251 0 93 4.1 "1001 to 5000 employees" "Health Care Services & Hospitals" "Unknown / Non-Applicable" "Business Intelligence Developer At Hospital for Special Surgery our clinicians and scientists collaborate to deliver the most innovative care. Our specialized focus on orthopedics and rheumatology enables us to help patients get back to what they need and love to do reliably and efficiently. Our patients are overwhelmingly satisfied with the care they receive at our facilities. When you join us, you will become part of this legacy of commitment to the most cutting edge research and coordinated care.  The Business Intelligence Developer will primarily be responsible for the development and deployment of data warehousing solutions and Business Intelligence applications. The ideal candidate will be passionate about the field of analytics and well versed in all aspects of an enterprise-wide analytics architecture including data integration, data modeling, and master data management. ResponsibilitiesDesign, build, and support all components of a data warehouse, such as ETL processes, databases and reporting environmentsDevelop and maintain business intelligence applications including operational reports, dashboards, scorecards, and ad hoc reporting requestsDevelop and automate ETL processes that involve error and reconciliation handling, utilizing Microsoft SQL Server Integration Services (SSIS)Design dimensional models with conformed dimensions, following the business processesUtilize SAP Business Objects in designing and building the reporting environmentCreate processes for capturing and maintaining metadataCreate system documentation and ensure it is continually sustained.QualificationsBS/MS in Computer Science or related field5+ years of professional experience, health care industry experience (preferred)3+ years working with RDBMS (i.e. SQL Server)2+ years of experience in data warehousing with designing multi-layered data warehouses and data marts using both relational and dimensional modeling techniques2+ years of experience in integrating data both at logical & physical levels2+ years of ETL (SSIS) experience2+ years of Report/Dashboard Visualization experience (e.g. Tableau)Programing experience preferred (C#, Java)Expertise in query optimization techniquesProven experience consolidating disparate data sets into usable dataExperience with SAP tools, WebI and Universe DesignerCertification in one or more of the Clarity data models (Optime, Anesthesia, Inpatient)Certification in Epic applications an added plusExcellent oral and written communication skillsStrong interpersonal skillsElements of a Successful CandidateSelf-motivated, creative and innately curious about the world of technology and consistently introducing innovative solutions to problems.Ability to monitor and synthesize data, identify trends and insights and make recommendations based on rational thinking.Self-motivated people-oriented and energetic attitude; a positive team player who is analytical and focused on results.Demonstrated cultural competence and ability to interface with a diverse, multi-cultural population; diplomatic and discreet; socially, culturally and politically astute.Committed to improving quality and service and maintaining a spirit of cooperation and respect.#LI-JL1"
2753907724 1 101 4.4 "10000+ employees" "Computer Hardware & Software" "$10+ billion (USD) per year" "The Analyst/Sr. Analyst, Sales Strategy & Operations professional will play a crucial role in supporting the explosive growth of Salesforce products. This role is hybrid of traditional jobs in strategic planning, sales operations, finance, and analysis – requiring a mix of market analysis, sales optimization and business operational support. This role is part of a high-performance team. Success in this role means assisting the appropriate sales group or business partner to drive the continued success of Salesforce by supporting our sales growth strategy. Sample projects range from the strategic to the very operational including evaluating worldwide market opportunities, supporting the creation of the product growth strategy, business planning, market segmentation, sales pipeline analysis and regular review of key performance metrics. Deliverables include detailed analytic models, custom performance analysis, building a scalable reporting infrastructure, and packaging findings into presentation-ready content for Salesforce executives. The role requires interaction with various areas of the organization and provides exposure to senior executives.The successful candidate will have relentless curiosity and possess a passion for creating innovative analysis to identify opportunities. Moreover, this person will excel at extracting insights from data and converting ideas to action. Responsibilities:Lead ongoing analysis of business performance to support daily operations Design and interpret key performance metrics. Deliver insights & recommendationsAssist in developing and delivering presentations for senior executivesSupport strategic initiatives including fixing weak businesses and investing in emerging marketsAssist in troubleshooting operational issues as they surface; propose changes to systems/ processes to fix root causesPrepare analysis and recommendations for strategic decision making Desired Skills/Experience:Analyst 2-3 years of experience/ Sr. Analyst 3-5 years of experienceValuable work experience focused on quantitative analysis, Excel, and logical reasoningBachelor’s degree from an accredited university. MBA a plus.Self-starter and high degree of motivation to go above and beyond the task at handExceptional problem solving skills: demonstrated ability to structure complex problems, develop solutions Strong presentation skills, especially related to building compelling PowerPoint presentationsWork experience in consulting, finance, or product management is a plusExperience with SQL, Tableau, R, Python and/or Business Objects (or similar analytical packages) a plusPosting StatementSalesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay fees to any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org.Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
